"grid_type","shot_zone_basic","shot_zone_area","shot_zone_range","fga","fgm","fg_pct","shot_value"
"League Averages","Mid-Range","Center(C)","8-16 ft.",160,58,0.363,2
"League Averages","Mid-Range","Left Side Center(LC)","16-24 ft.",589,233,0.396,2
"League Averages","Mid-Range","Left Side(L)","8-16 ft.",687,281,0.409,2
"League Averages","Mid-Range","Left Side(L)","16-24 ft.",405,153,0.378,2
"League Averages","Mid-Range","Right Side Center(RC)","16-24 ft.",656,256,0.39,2
"League Averages","Mid-Range","Right Side(R)","16-24 ft.",393,143,0.364,2
"League Averages","Mid-Range","Right Side(R)","8-16 ft.",588,226,0.384,2
"League Averages","Restricted Area","Center(C)","Less Than 8 ft.",4204,2464,0.586,2
"League Averages","Right Corner 3","Right Side(R)","24+ ft.",414,147,0.355,3
"League Averages","Above the Break 3","Back Court(BC)","Back Court Shot",6,0,0,3
"League Averages","Above the Break 3","Center(C)","24+ ft.",488,159,0.326,3
"League Averages","Above the Break 3","Left Side Center(LC)","24+ ft.",949,318,0.335,3
"League Averages","Above the Break 3","Right Side Center(RC)","24+ ft.",1035,354,0.342,3
"League Averages","Backcourt","Back Court(BC)","Back Court Shot",35,0,0,3
"League Averages","In The Paint (Non-RA)","Center(C)","8-16 ft.",527,216,0.41,2
